Commodity_Code,Commodity_Description,Country_Code,Country_Name,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_ID,Unit_Description,Value
0430000,"Barley",AU,"Austria",2000,2002,00,004,"Area Harvested",04,"(1000 HA)",224.0000
0430000,"Barley",UK,"United Kingdom",2000,2002,00,004,"Area Harvested",04,"(1000 HA)",1128.0000
0430000,"Barley",AU,"Austria",2000,2002,00,028,"Production",08,"(1000 MT)",855.0000
0430000,"Barley",UK,"United Kingdom",2000,2002,00,028,"Production",08,"(1000 MT)",6492.0000
0430000,"Barley",AU,"Austria",2001,2003,00,004,"Area Harvested",04,"(1000 HA)",218.0000
0430000,"Barley",UK,"United Kingdom",2001,2003,00,004,"Area Harvested",04,"(1000 HA)",1245.0000
0430000,"Barley",AU,"Austria",2001,2003,00,028,"Production",08,"(1000 MT)",1012.0000
0430000,"Barley",UK,"United Kingdom",2001,2003,00,028,"Production",08,"(1000 MT)",6660.0000
0430000,"Barley",AU,"Austria",2002,2004,00,004,"Area Harvested",04,"(1000 HA)",200.0000
0430000,"Barley",UK,"United Kingdom",2002,2004,00,004,"Area Harvested",04,"(1000 HA)",1101.0000
0430000,"Barley",AU,"Austria",2002,2004,00,028,"Production",08,"(1000 MT)",861.0000
0430000,"Barley",UK,"United Kingdom",2002,2004,00,028,"Production",08,"(1000 MT)",6128.0000
0430000,"Barley",AU,"Austria",2003,2005,00,004,"Area Harvested",04,"(1000 HA)",212.0000
0430000,"Barley",UK,"United Kingdom",2003,2005,00,004,"Area Harvested",04,"(1000 HA)",1078.0000
0430000,"Barley",AU,"Austria",2003,2005,00,028,"Production",08,"(1000 MT)",880.0000
0430000,"Barley",UK,"United Kingdom",2003,2005,00,028,"Production",08,"(1000 MT)",6370.0000
0430000,"Barley",AU,"Austria",2004,2006,07,004,"Area Harvested",04,"(1000 HA)",191.0000
0430000,"Barley",UK,"United Kingdom",2004,2007,01,004,"Area Harvested",04,"(1000 HA)",1007.0000
0430000,"Barley",AU,"Austria",2004,2006,07,028,"Production",08,"(1000 MT)",1004.0000
0430000,"Barley",UK,"United Kingdom",2004,2007,01,028,"Production",08,"(1000 MT)",5799.0000
0430000,"Barley",AU,"Austria",2005,2007,05,004,"Area Harvested",04,"(1000 HA)",192.0000
0430000,"Barley",UK,"United Kingdom",2005,2007,01,004,"Area Harvested",04,"(1000 HA)",938.0000
0430000,"Barley",AU,"Austria",2005,2007,05,028,"Production",08,"(1000 MT)",883.0000
0430000,"Barley",UK,"United Kingdom",2005,2007,01,028,"Production",08,"(1000 MT)",5495.0000
0430000,"Barley",AU,"Austria",2006,2008,08,004,"Area Harvested",04,"(1000 HA)",206.0000
0430000,"Barley",UK,"United Kingdom",2006,2007,05,004,"Area Harvested",04,"(1000 HA)",881.0000
0430000,"Barley",AU,"Austria",2006,2008,08,028,"Production",08,"(1000 MT)",914.0000
0430000,"Barley",UK,"United Kingdom",2006,2007,05,028,"Production",08,"(1000 MT)",5239.0000
0430000,"Barley",AU,"Austria",2007,2008,05,004,"Area Harvested",04,"(1000 HA)",193.0000
0430000,"Barley",UK,"United Kingdom",2007,2009,05,004,"Area Harvested",04,"(1000 HA)",898.0000
0430000,"Barley",AU,"Austria",2007,2008,05,028,"Production",08,"(1000 MT)",811.0000
0430000,"Barley",UK,"United Kingdom",2007,2009,05,028,"Production",08,"(1000 MT)",5079.0000
0430000,"Barley",AU,"Austria",2008,2009,05,004,"Area Harvested",04,"(1000 HA)",186.0000
0430000,"Barley",UK,"United Kingdom",2008,2009,05,004,"Area Harvested",04,"(1000 HA)",1032.0000
0430000,"Barley",AU,"Austria",2008,2009,05,028,"Production",08,"(1000 MT)",968.0000
0430000,"Barley",UK,"United Kingdom",2008,2009,05,028,"Production",08,"(1000 MT)",6144.0000
0430000,"Barley",AU,"Austria",2009,2011,05,004,"Area Harvested",04,"(1000 HA)",182.0000
0430000,"Barley",UK,"United Kingdom",2009,2016,08,004,"Area Harvested",04,"(1000 HA)",1143.0000
0430000,"Barley",AU,"Austria",2009,2011,05,028,"Production",08,"(1000 MT)",835.0000
0430000,"Barley",UK,"United Kingdom",2009,2016,08,028,"Production",08,"(1000 MT)",6668.0000
0430000,"Barley",AU,"Austria",2010,2011,04,004,"Area Harvested",04,"(1000 HA)",169.0000
0430000,"Barley",UK,"United Kingdom",2010,2016,08,004,"Area Harvested",04,"(1000 HA)",921.0000
0430000,"Barley",AU,"Austria",2010,2011,04,028,"Production",08,"(1000 MT)",778.0000
0430000,"Barley",UK,"United Kingdom",2010,2016,08,028,"Production",08,"(1000 MT)",5252.0000
0430000,"Barley",AU,"Austria",2011,2012,05,004,"Area Harvested",04,"(1000 HA)",153.0000
0430000,"Barley",UK,"United Kingdom",2011,2016,08,004,"Area Harvested",04,"(1000 HA)",970.0000
0430000,"Barley",AU,"Austria",2011,2012,05,028,"Production",08,"(1000 MT)",859.0000
0430000,"Barley",UK,"United Kingdom",2011,2016,08,028,"Production",08,"(1000 MT)",5494.0000
0430000,"Barley",AU,"Austria",2012,2013,05,004,"Area Harvested",04,"(1000 HA)",151.0000
0430000,"Barley",UK,"United Kingdom",2012,2016,08,004,"Area Harvested",04,"(1000 HA)",1002.0000
0430000,"Barley",AU,"Austria",2012,2013,05,028,"Production",08,"(1000 MT)",662.0000
0430000,"Barley",UK,"United Kingdom",2012,2016,08,028,"Production",08,"(1000 MT)",5522.0000
0430000,"Barley",AU,"Austria",2013,2014,05,004,"Area Harvested",04,"(1000 HA)",143.0000
0430000,"Barley",UK,"United Kingdom",2013,2016,08,004,"Area Harvested",04,"(1000 HA)",1213.0000
0430000,"Barley",AU,"Austria",2013,2014,05,028,"Production",08,"(1000 MT)",734.0000
0430000,"Barley",UK,"United Kingdom",2013,2016,08,028,"Production",08,"(1000 MT)",7092.0000
0430000,"Barley",AU,"Austria",2014,2015,05,004,"Area Harvested",04,"(1000 HA)",146.0000
0430000,"Barley",UK,"United Kingdom",2014,2016,08,004,"Area Harvested",04,"(1000 HA)",1080.0000
0430000,"Barley",AU,"Austria",2014,2015,05,028,"Production",08,"(1000 MT)",846.0000
0430000,"Barley",UK,"United Kingdom",2014,2016,08,028,"Production",08,"(1000 MT)",6911.0000
0430000,"Barley",AU,"Austria",2015,2016,04,004,"Area Harvested",04,"(1000 HA)",152.0000
0430000,"Barley",UK,"United Kingdom",2015,2016,08,004,"Area Harvested",04,"(1000 HA)",1101.0000
0430000,"Barley",AU,"Austria",2015,2016,04,028,"Production",08,"(1000 MT)",840.0000
0430000,"Barley",UK,"United Kingdom",2015,2016,08,028,"Production",08,"(1000 MT)",7370.0000
0430000,"Barley",AU,"Austria",2016,2017,05,004,"Area Harvested",04,"(1000 HA)",140.0000
0459900,"Mixed Grain",UK,"United Kingdom",2000,2011,05,004,"Area Harvested",04,"(1000 HA)",18.0000
0430000,"Barley",AU,"Austria",2016,2017,05,028,"Production",08,"(1000 MT)",860.0000
0459900,"Mixed Grain",UK,"United Kingdom",2000,2011,05,028,"Production",08,"(1000 MT)",109.0000
0430000,"Barley",AU,"Austria",2017,2018,05,004,"Area Harvested",04,"(1000 HA)",139.0000
0459900,"Mixed Grain",UK,"United Kingdom",2001,2011,05,004,"Area Harvested",04,"(1000 HA)",17.0000
0430000,"Barley",AU,"Austria",2017,2018,05,028,"Production",08,"(1000 MT)",782.0000
0459900,"Mixed Grain",UK,"United Kingdom",2001,2011,05,028,"Production",08,"(1000 MT)",75.0000
0430000,"Barley",AU,"Austria",2018,2019,04,004,"Area Harvested",04,"(1000 HA)",139.0000
0459900,"Mixed Grain",UK,"United Kingdom",2002,2011,05,004,"Area Harvested",04,"(1000 HA)",18.0000
0430000,"Barley",AU,"Austria",2018,2019,04,028,"Production",08,"(1000 MT)",695.0000
0459900,"Mixed Grain",UK,"United Kingdom",2002,2011,05,028,"Production",08,"(1000 MT)",83.0000
0430000,"Barley",AU,"Austria",2019,2020,11,004,"Area Harvested",04,"(1000 HA)",137.0000
0459900,"Mixed Grain",UK,"United Kingdom",2003,2011,05,004,"Area Harvested",04,"(1000 HA)",19.0000
0430000,"Barley",AU,"Austria",2019,2020,11,028,"Production",08,"(1000 MT)",833.0000
0459900,"Mixed Grain",UK,"United Kingdom",2003,2011,05,028,"Production",08,"(1000 MT)",79.0000
0430000,"Barley",AU,"Austria",2020,2021,04,004,"Area Harvested",04,"(1000 HA)",135.0000
0459900,"Mixed Grain",UK,"United Kingdom",2004,2011,05,004,"Area Harvested",04,"(1000 HA)",19.0000
0430000,"Barley",AU,"Austria",2020,2021,04,028,"Production",08,"(1000 MT)",870.0000
0459900,"Mixed Grain",UK,"United Kingdom",2004,2011,05,028,"Production",08,"(1000 MT)",80.0000
0430000,"Barley",AU,"Austria",2021,2022,04,004,"Area Harvested",04,"(1000 HA)",124.0000
0459900,"Mixed Grain",UK,"United Kingdom",2005,2011,05,004,"Area Harvested",04,"(1000 HA)",16.0000
0430000,"Barley",AU,"Austria",2021,2022,04,028,"Production",08,"(1000 MT)",738.0000
0459900,"Mixed Grain",UK,"United Kingdom",2005,2011,05,028,"Production",08,"(1000 MT)",68.0000
0430000,"Barley",AU,"Austria",2022,2023,04,004,"Area Harvested",04,"(1000 HA)",123.0000
0459900,"Mixed Grain",UK,"United Kingdom",2006,2011,05,004,"Area Harvested",04,"(1000 HA)",18.0000
0430000,"Barley",AU,"Austria",2022,2023,04,028,"Production",08,"(1000 MT)",758.0000
0459900,"Mixed Grain",UK,"United Kingdom",2006,2011,05,028,"Production",08,"(1000 MT)",76.0000
0430000,"Barley",AU,"Austria",2023,2024,04,004,"Area Harvested",04,"(1000 HA)",123.0000
0459900,"Mixed Grain",UK,"United Kingdom",2007,2011,05,004,"Area Harvested",04,"(1000 HA)",21.0000
0430000,"Barley",AU,"Austria",2023,2024,04,028,"Production",08,"(1000 MT)",763.0000
0459900,"Mixed Grain",UK,"United Kingdom",2007,2011,05,028,"Production",08,"(1000 MT)",78.0000
0430000,"Barley",AU,"Austria",2024,2025,04,004,"Area Harvested",04,"(1000 HA)",126.0000
0459900,"Mixed Grain",UK,"United Kingdom",2008,2010,05,004,"Area Harvested",04,"(1000 HA)",20.0000
0430000,"Barley",AU,"Austria",2024,2025,04,028,"Production",08,"(1000 MT)",716.0000
0459900,"Mixed Grain",UK,"United Kingdom",2008,2010,05,028,"Production",08,"(1000 MT)",96.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2000,2002,00,004,"Area Harvested",04,"(1000 HA)",59.0000
0459900,"Mixed Grain",UK,"United Kingdom",2009,2011,08,004,"Area Harvested",04,"(1000 HA)",23.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2000,2002,00,028,"Production",08,"(1000 MT)",386.0000
0459900,"Mixed Grain",UK,"United Kingdom",2009,2011,08,028,"Production",08,"(1000 MT)",94.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2001,2003,00,004,"Area Harvested",04,"(1000 HA)",63.0000
0459900,"Mixed Grain",UK,"United Kingdom",2010,2011,05,004,"Area Harvested",04,"(1000 HA)",24.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2001,2003,00,028,"Production",08,"(1000 MT)",425.0000
0459900,"Mixed Grain",UK,"United Kingdom",2010,2011,05,028,"Production",08,"(1000 MT)",100.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2002,2004,00,004,"Area Harvested",04,"(1000 HA)",57.0000
0459900,"Mixed Grain",UK,"United Kingdom",2011,2013,11,004,"Area Harvested",04,"(1000 HA)",27.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2002,2004,00,028,"Production",08,"(1000 MT)",399.0000
0459900,"Mixed Grain",UK,"United Kingdom",2011,2013,11,028,"Production",08,"(1000 MT)",120.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2003,2005,00,004,"Area Harvested",04,"(1000 HA)",50.0000
0459900,"Mixed Grain",UK,"United Kingdom",2012,2014,05,004,"Area Harvested",04,"(1000 HA)",20.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2003,2005,00,028,"Production",08,"(1000 MT)",300.0000
0459900,"Mixed Grain",UK,"United Kingdom",2012,2014,05,028,"Production",08,"(1000 MT)",65.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2004,2006,07,004,"Area Harvested",04,"(1000 HA)",50.0000
0459900,"Mixed Grain",UK,"United Kingdom",2013,2014,05,004,"Area Harvested",04,"(1000 HA)",20.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2004,2006,07,028,"Production",08,"(1000 MT)",357.0000
0459900,"Mixed Grain",UK,"United Kingdom",2013,2014,05,028,"Production",08,"(1000 MT)",80.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2005,2007,05,004,"Area Harvested",04,"(1000 HA)",51.0000
0459900,"Mixed Grain",UK,"United Kingdom",2014,2015,04,004,"Area Harvested",04,"(1000 HA)",20.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2005,2007,05,028,"Production",08,"(1000 MT)",370.0000
0459900,"Mixed Grain",UK,"United Kingdom",2014,2015,04,028,"Production",08,"(1000 MT)",80.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2006,2008,05,004,"Area Harvested",04,"(1000 HA)",44.0000
0459900,"Mixed Grain",UK,"United Kingdom",2015,2017,05,004,"Area Harvested",04,"(1000 HA)",35.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2006,2008,05,028,"Production",08,"(1000 MT)",376.0000
0459900,"Mixed Grain",UK,"United Kingdom",2015,2017,05,028,"Production",08,"(1000 MT)",122.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2007,2009,05,004,"Area Harvested",04,"(1000 HA)",53.0000
0452000,"Oats",UK,"United Kingdom",2000,2002,00,004,"Area Harvested",04,"(1000 HA)",109.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2007,2009,05,028,"Production",08,"(1000 MT)",386.0000
0452000,"Oats",UK,"United Kingdom",2000,2002,00,028,"Production",08,"(1000 MT)",640.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2008,2010,05,004,"Area Harvested",04,"(1000 HA)",61.0000
0452000,"Oats",UK,"United Kingdom",2001,2003,00,004,"Area Harvested",04,"(1000 HA)",112.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2008,2010,05,028,"Production",08,"(1000 MT)",441.0000
0452000,"Oats",UK,"United Kingdom",2001,2003,00,028,"Production",08,"(1000 MT)",621.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2009,2011,05,004,"Area Harvested",04,"(1000 HA)",54.0000
0452000,"Oats",UK,"United Kingdom",2002,2004,00,004,"Area Harvested",04,"(1000 HA)",126.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2009,2011,05,028,"Production",08,"(1000 MT)",452.0000
0452000,"Oats",UK,"United Kingdom",2002,2004,00,028,"Production",08,"(1000 MT)",753.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2010,2012,05,004,"Area Harvested",04,"(1000 HA)",42.0000
0452000,"Oats",UK,"United Kingdom",2003,2008,08,004,"Area Harvested",04,"(1000 HA)",122.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2010,2012,05,028,"Production",08,"(1000 MT)",337.0000
0452000,"Oats",UK,"United Kingdom",2003,2008,08,028,"Production",08,"(1000 MT)",749.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2011,2013,05,004,"Area Harvested",04,"(1000 HA)",43.0000
0452000,"Oats",UK,"United Kingdom",2004,2007,01,004,"Area Harvested",04,"(1000 HA)",108.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2011,2013,05,028,"Production",08,"(1000 MT)",321.0000
0452000,"Oats",UK,"United Kingdom",2004,2007,01,028,"Production",08,"(1000 MT)",626.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2012,2014,05,004,"Area Harvested",04,"(1000 HA)",45.0000
0452000,"Oats",UK,"United Kingdom",2005,2008,08,004,"Area Harvested",04,"(1000 HA)",91.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2012,2014,05,028,"Production",08,"(1000 MT)",340.0000
0452000,"Oats",UK,"United Kingdom",2005,2008,08,028,"Production",08,"(1000 MT)",532.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2013,2015,05,004,"Area Harvested",04,"(1000 HA)",52.0000
0452000,"Oats",UK,"United Kingdom",2006,2008,08,004,"Area Harvested",04,"(1000 HA)",121.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2013,2015,05,028,"Production",08,"(1000 MT)",390.0000
0452000,"Oats",UK,"United Kingdom",2006,2008,08,028,"Production",08,"(1000 MT)",728.0000
0430000,"Barley",BE,"Belgium-Luxembourg",2014,2016,10,004,"Area Harvested",04,"(1000 HA)",55.0000
