Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01371","Almonds, in shell","2023","2023","t","67000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","t","17908.59","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01341","Apples","2023","2023","t","324000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01343","Apricots","2023","2023","t","155429.38","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0115","Barley","2023","2023","t","110000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01229","Cantaloupes and other melons","2023","2023","t","795100.45","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01315","Figs","2023","2023","t","60651.09","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01330","Grapes","2023","2023","t","1086000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01441","Linseed","2023","2023","t","29000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0112","Maize (corn)","2023","2023","t","363000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0118","Millet","2023","2023","t","1824.12","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01442","Mustard seed","2023","2023","t","1000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01450","Olives","2023","2023","t","7785.23","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","t","586000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01323","Oranges","2023","2023","t","7385.04","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2023","2023","t","33194.74","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01329","Other citrus fruit, n.e.c.","2023","2023","t","18960.64","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01359.90","Other fruits, n.e.c.","2023","2023","t","61995.64","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2023","2023","t","3841.07","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01709.90","Other pulses n.e.c.","2023","2023","t","47145.41","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2023","2023","t","17.88","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01349.20","Other stone fruits","2023","2023","t","49391.67","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2023","2023","t","723106.76","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01345","Peaches and nectarines","2023","2023","t","106311.7","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01342.01","Pears","2023","2023","t","28000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01375","Pistachios, in shell","2023","2023","t","2801.74","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01346","Plums and sloes","2023","2023","t","47041.32","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01510","Potatoes","2023","2023","t","889000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2023","2023","t","597000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01921.01","Seed cotton, unginned","2023","2023","t","68449.1","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01444","Sesame seed","2023","2023","t","14000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0141","Soya beans","2023","2023","t","6000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01801","Sugar beet","2023","2023","t","6000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01802","Sugar cane","2023","2023","t","56000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01445","Sunflower seed","2023","2023","t","1067.94","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01376","Walnuts, in shell","2023","2023","t","27000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01221","Watermelons","2023","2023","t","943668.36","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2023","2023","t","4300000","X","Figure from international organizations","Unofficial figure"
