Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","076","Brazil","5510","Production","01371","Almonds, in shell","2023","2023","t","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01341","Apples","2023","2023","t","1183794","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01311","Avocados","2023","2023","t","422545","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01312","Bananas","2023","2023","t","6825724","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2023","2023","t","375423","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01701","Beans, dry","2023","2023","t","2899043","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01377","Brazil nuts, in shell","2023","2023","t","35351","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01702","Broad beans and horse beans, dry","2023","2023","t","10372","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01192","Buckwheat","2023","2023","t","64611.39","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01229","Cantaloupes and other melons","2023","2023","t","862387","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01372","Cashew nuts, in shell","2023","2023","t","127931","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01359.02","Cashewapple","2023","2023","t","1061822.37","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01520.01","Cassava, fresh","2023","2023","t","18514317","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01447","Castor oil seeds","2023","2023","t","43064","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01373","Chestnuts, in shell","2023","2023","t","","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01640","Cocoa beans","2023","2023","t","296145","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01460","Coconuts, in shell","2023","2023","t","2898423","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01610","Coffee, green","2023","2023","t","3405267","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01315","Figs","2023","2023","t","20881","A","Official figure",""
